species,year,region,total_catch,total_effort,total_fleet,harvest,landed,wholesale,total_rec.catch,total_rec.effort,active.farms,abundance,genlength,release,temperature,variance,sd,licenses
Chinook,1996,CC,7396.956062,11676,NA,NA,NA,NA,NA,NA,NA,34237,5,4285407,6.090548464,6.530000216,2.55538651,NA
Chinook,1996,Fraser,2525.774116,1686,NA,NA,NA,NA,NA,NA,NA,116766,5,3072950,6.090548464,6.530000216,2.55538651,NA
Chinook,1996,HG,6.219018069,6457,NA,NA,NA,NA,NA,NA,NA,4500,6,203816,6.090548464,6.530000216,2.55538651,NA
Chinook,1996,Nass,12352.32289,29528,NA,NA,NA,NA,NA,NA,NA,22950,5,9038,6.090548464,6.530000216,2.55538651,NA
Chinook,1996,Skeena,18042.50203,24258,NA,NA,NA,NA,NA,NA,NA,102683,6,494587,6.090548464,6.530000216,2.55538651,NA
Chinook,1996,VIMI,2232.225884,16545,NA,NA,NA,NA,NA,NA,NA,100514,4,30953857,6.090548464,6.530000216,2.55538651,NA
Chinook,1997,CC,31162.28997,12559,NA,0.267135423,0.911403209,1.209966329,NA,NA,NA,30296,5,4516110,6.215470205,8.945723926,2.990940308,NA
Chinook,1997,Fraser,16969.01424,10193,NA,0.145465074,0.496292604,0.658871215,NA,NA,NA,178745,5,4530808,6.215470205,8.945723926,2.990940308,NA
Chinook,1997,HG,14273.05207,11392,NA,0.122354224,0.417443823,0.554192662,NA,NA,NA,3750,6,351943,6.215470205,8.945723926,2.990940308,NA
Chinook,1997,Nass,24078.89538,22870,NA,0.206413775,0.704235232,0.934932981,NA,NA,NA,20337,5,173506,6.215470205,8.945723926,2.990940308,NA
Chinook,1997,Skeena,48623.76258,19877,NA,0.416822044,1.422098739,1.88795867,NA,NA,NA,48594,6,375250,6.215470205,8.945723926,2.990940308,NA
Chinook,1997,VIMI,63203.98576,14137,NA,0.54180946,1.848526393,2.454078142,NA,NA,NA,109265,4,34379942,6.215470205,8.945723926,2.990940308,NA
Chinook,1998,CC,7215.915333,5096,NA,0.06727947,0.264312202,0.442122228,NA,NA,NA,38361,5,4169309,5.793741131,8.179312301,2.859949702,1250
